title,genre,producer,country,country_duble,year,year_duble,imdb
Багровое золото,"Жанры игрового кино,Драма (жанр)","(['Панахи, Джафар'],)",Иран,,,2003,7.4
Багровая мята,"Жанры игрового кино,Боевик (киножанр),Триллер","(['Морель, Пьер (кинематографист)'],)",США,,,2018,6.5
Багровая мгла,"Жанры игрового кино,Ужасы,Триллер","(['Пэдди Бретнэк (страница отсутствует)'],)",Великобритания,,,2008,4.9
Багратион,"Жанры игрового кино,Исторический фильм,Биографический фильм","(['Чохонелидзе, Гиули Ясонович', 'Мгеладзе, Караман Георгиевич'],)",СССР,,,1985,7.0
БАгИ,"Жанры игрового кино,Драма (жанр)","(['Богатырёв, Андрей Андреевич'],)",Россия,,,2011,7.1
Багдадский вор,"Жанры игрового кино,Приключенческий фильм,Семейный фильм,Сказка","(['Бергер, Людвиг (режиссёр)', 'Майкл Пауэлл', 'Тим Уэлан'],)",,Великобритания,"1940,25 декабря,1940", ,7.4
Азартные игры,"Жанры игрового кино,Триллер,Драма (жанр)","(['Франкенхаймер, Джон'],)",США,,,2000,5.8
Азартная игра,"Жанры игрового кино,Драма (жанр)","(['Фридкин, Уильям'],)",,,,1994,6.3
Азарт удачи,"Жанры игрового кино,Кинокомедия","(['Билли Уайлдер'],)",США,,,1966,7.2
Азарт любви,"Жанры игрового кино,Музыкальный фильм,Драматический фильм,Боевик (киножанр)","([],)",Индия,,,2000,6.1
