title,genre,producer,country,country_duble,year,year_duble,imdb
Элис,"Жанры игрового кино,Драматический фильм","([],)",США,,,2022,https://www.imdb.com/title/tt11040762/
Алиса,"Жанры игрового кино,Мелодрама,Кинокомедия,Фэнтези","(['Аллен, Вуди'],)",США,,,1990,https://www.imdb.com/title/tt0099012/
Элина - будто меня и не было,"Жанры игрового кино,Семейный,Драма (род литературы)","(['Клаус Хярё'],)","Швеция,Финляндия",,,2002,https://www.imdb.com/title/tt0330911/
Я не хочу идти в одиночку,"Жанры игрового кино,Драма (жанр)","([],)",Бразилия,,,2010,https://www.imdb.com/title/tt1687221/
Я не хочу об этом говорить,"Жанры игрового кино,Мелодрама","(['Мария Луиза Бемберг'],)",,,,1993,https://www.imdb.com/title/tt0106678/
Я - не террорист,"Жанры игрового кино,Драма (жанр)","(['en:Muhammad Ali Iskandarov'],)",Узбекистан,,,2021,https://www.imdb.com/title/tt17318026/
Я не сволочь,"Жанры игрового кино,Драма (жанр)","(['Эмманюэль Финкель'],)",Франция,,,2015,https://www.imdb.com/title/tt4084060/
Я не могу думать гетеросексуально,"Жанры игрового кино,Драма (жанр),Мелодрама","(['Шамим Сариф'],)",Великобритания,,,2007,https://www.imdb.com/title/tt0830570/
Я не киллер,"Жанры игрового кино,Комедийный боевик,Фильм-триллер","(['Линклейтер, Ричард'],)",,Соединённые Штаты Америки,2023,,https://www.imdb.com/title/tt20215968/
"Я не знаю, как она делает это","Жанры игрового кино,Кинокомедия","([],)",США,,,2011,https://www.imdb.com/title/tt1742650/
Я не говорю по-английски,"Жанры игрового кино,Комедия","(['Карло Вандзина'],)",Италия,,,1995,https://www.imdb.com/title/tt0113436/
Я не вернусь,"Жанры игрового кино,Драматический фильм","(['Рааг, Ильмар'],)","Россия,Казахстан",,,2014,https://www.imdb.com/title/tt2637844/
Я не ведьма,"Жанры игрового кино,Драматический фильм","([],)",,"Великобритания,Франция,Германия","25 мая,2017,16 августа,2018,20 октября,2017"," , , ",https://www.imdb.com/title/tt6213284/
Я не боюсь,"Жанры игрового кино,Драма (жанр),Триллер","(['Габриэле Сальваторес'],)",Италия,,,2003,https://www.imdb.com/title/tt0326977/
"Я не актёра зрю, а бытия черты","Жанры игрового кино,Документальный фильм","(['Коняев, Игорь Григорьевич'],)",Россия,,,2023,
Я могу достать это вам по оптовой цене,"Жанры игрового кино,Мелодрама","(['Гордон, Майкл (режиссёр)'],)",США,,,1951,https://www.imdb.com/title/tt0043663/
Я мечтала об Африке,"Жанры игрового кино,Драма (жанр)","(['Хью Хадсон'],)",Великобритания,,,2000,https://www.imdb.com/title/tt0167203/
Я любопытна – фильм в жёлтом,"Жанры игрового кино,Драма (жанр)","(['Шёман, Вильгот'],)",Швеция,,,1967,https://www.imdb.com/title/tt0061834/
Я люблю только тебя,Жанры игрового кино,"(['Пьер Монтазаль (страница отсутствует)'],)",Франция,,,1949,https://www.imdb.com/title/tt0041520/
